
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 94, col 14, Error - Using Chinese characters: '✅ 验证' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 95, col 17, Error - Using Chinese characters: '✨ 效果' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 98, col 14, Error - Using Chinese characters: '📦 包含' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 99, col 14, Error - Using Chinese characters: '📖  方式' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 100, col 14, Error - Using Chinese characters: '🔍 详解' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 101, col 14, Error - Using Chinese characters: '📋 计划' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 102, col 15, Error - Using Chinese characters: '🏗️ 架构' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 103, col 14, Error - Using Chinese characters: '📤  导出' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 104, col 14, Error - Using Chinese characters: '💻 开发' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 105, col 15, Error - Using Chinese characters: '📜 许可证' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 106, col 14, Error - Using Chinese characters: '📝 变更' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 108, col 14, Error - Using Chinese characters: '📚 文档' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 111, col 15, Error - Using Chinese characters: '🌐 微前端' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 112, col 14, Error - Using Chinese characters: '🔄 流程' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 113, col 14, Error - Using Chinese characters: '🔧 后端' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 114, col 14, Error - Using Chinese characters: '💾 缓存' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 115, col 14, Error - Using Chinese characters: '📊 数据' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 116, col 15, Error - Using Chinese characters: '🏷️ 类型' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 117, col 14, Error - Using Chinese characters: '☁️ 标签' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 118, col 14, Error - Using Chinese characters: '📁 项目' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 119, col 15, Error - Using Chinese characters: '📅 时间线' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 120, col 14, Error - Using Chinese characters: '📚  参考' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 121, col 14, Error - Using Chinese characters: '🎁 额外' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 124, col 16, Error - Using Chinese characters: '立即实施 🚀' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 125, col 21, Error - Using Chinese characters: '开箱即用！**🎉 ' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 126, col 19, Error - Using Chinese characters: '完成！**🎉 ' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 127, col 19, Error - Using Chinese characters: '完成！** 🎉' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 155, col 32, Error - Using Chinese characters:  - 修复了  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 155, col 50, Error - Using Chinese characters:  处 (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 157, col 34, Error - Using Chinese characters:  - 无需修复 (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 168, col 15, Error - Using Chinese characters: '开始批量修复 emoji...\n' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 181, col 15, Error - Using Chinese characters: \n修复完成！ (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 182, col 15, Error - Using Chinese characters: - 修复文件数： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 183, col 15, Error - Using Chinese characters: - 修复总数： (i18n/no-chinese-character)
